method,year,modularity,n_communities
girvan_newman,2015,0.0815753299608,11
girvan_newman_inverted,2015,0.0647425881306,6
girvan_newman,2013,0.0786083825675,72
girvan_newman_inverted,2013,0.0561730928201,9
girvan_newman,2011,0.0951073673381,64
girvan_newman_inverted,2011,0.0130702909182,6
girvan_newman,2009,0.0607461073912,50
girvan_newman_inverted,2009,0.0150008796776,3
girvan_newman,2007,0.031153566495,149
girvan_newman_inverted,2007,0.0193671557173,4
girvan_newman,2001,0.0482093387124,11
girvan_newman_inverted,2001,0.0403300467742,45
girvan_newman,2005,0.0327508450463,139
girvan_newman,2003,0.0725814371819,60
girvan_newman_inverted,2005,0.0116492592605,4
girvan_newman_inverted,2003,0.0263050829626,171
girvan_newman,1997,0.057583385428,60
girvan_newman,1999,0.0442967311423,63
girvan_newman_inverted,1999,0.0269087776907,3
girvan_newman_inverted,1997,0.0293348757701,2
girvan_newman,1993,0.0569583404036,71
girvan_newman,1995,0.0998847722116,45
girvan_newman_inverted,1993,0.0395830089954,4
girvan_newman_inverted,1995,0.05629540381,37
girvan_newman,1991,0.0913279679028,65
girvan_newman_inverted,1991,0.0278473306066,156
girvan_newman,1987,0.123152804144,21
girvan_newman,1989,0.0971368227298,74
girvan_newman_inverted,1987,0.0371299845866,166
girvan_newman_inverted,1989,0.0466956302864,167
